Country;Ave_Life_Exp;GDP_Capita;HPI;Ave_Wellbeing
Afghanistan;59.7;690.84;20.2;3.8
Albania;77.3;4247.49;36.8;5.5
Algeria;74.3;5583.62;33.3;5.6
Argentina;75.9;14357.41;35.2;6.5
Armenia;74.4;3565.52;25.7;4.3
Australia;82.1;67646.1;21.2;7.2
Austria;81;48324.25;30.5;7.4
Bangladesh;70.8;858.93;38.4;4.7
Belarus;70.9;6721.83;21.7;5.7
Belgium;80.4;44731.22;23.7;6.9
Belize;69.8;4674.29;33.8;6.1
Benin;59.2;807.69;13.4;3.2
Bhutan;68.7;2452.15;28.6;5.6
Bolivia;67.5;2645.29;23.3;6
Bosnia and Herzegovina;76.2;4494.64;25.3;4.8
Botswana;64.2;6935.59;16.6;4.8
Brazil;73.9;12157.31;34.3;6.9
Bulgaria;73.9;7333.36;20.4;4.2
Burkina Faso;58;673.03;17.9;4
Burundi;55.8;244.2;15.6;3.4
Cambodia;67.5;946.48;25.6;3.9
Cameroon;54.6;1222.19;16.7;4.2
Canada;81.7;52737.78;23.9;7.4
Chad;50.8;972.68;12.8;4
Chile;81.1;15253.33;31.7;6.6
China;75.4;6264.64;25.7;5.1
Colombia;73.7;7885.06;40.7;6.4
Comoros;62.6;750.31;23.1;4
Costa Rica;79.1;9733.4;44.7;7.3
Cote d'Ivoire;50.8;1281.38;14.4;3.8
Croatia;77;13235.98;30.2;6
Cyprus;79.8;28868.27;30.7;6.2
Czech Republic;78.2;19640.93;27.3;6.3
Denmark;79.8;57636.13;32.7;7.5
Djibouti;61.3;1586.78;16.4;4.4
Dominican Republic;73.1;5967;30.3;4.8
Ecuador;75.4;5702.17;37;6
Egypt;70.7;3226.13;23.8;4.2
El Salvador;72.5;3921.72;35.6;5.9
Estonia;76.2;17490.99;17.9;5.4
Ethiopia;62.8;469.79;26.7;4.6
Finland;80.4;47415.56;31.3;7.4
France;81.8;40850.35;30.4;6.6
Gabon;63.3;10642.43;17.5;4
Georgia;74.6;4142.87;31.1;4.3
Germany;80.6;44010.93;29.8;6.7
Ghana;61;1641.83;21.4;5.1
Greece;80.5;22242.68;23.6;5.1
Guatemala;71.4;3278.63;34.2;5.9
Guinea;57.7;487.35;15.9;3.7
Haiti;62.1;766.87;28.6;4.4
Honduras;72.8;2395.07;27.2;4.6
Hong Kong;83.6;36707.77;16.8;5.5
Hungary;74.9;12819.71;26.4;4.7
Iceland;82.2;44258.84;31.1;7.6
India;67.3;1449.66;29.2;4.6
Indonesia;68.5;3700.52;35.7;5.4
Iran;74.8;7710.51;24;4.6
Iraq;69;6649.25;26.5;4.7
Ireland;80.5;48976.93;30;7
Israel;81.9;32818.86;28.8;7.1
Italy;82.7;34844.5;28.1;5.8
Jamaica;75.3;5445.89;36.9;5.6
Japan;83.2;46679.27;28.3;6
Kazakhstan;68.6;12120.31;19.1;5.8
Kenya;60.3;1184.92;24.2;4.5
Kyrgyzstan;69.7;1177.97;33.1;5.2
Latvia;73.6;13775.26;17.1;5.1
Lebanon;78.8;9729.28;21.9;4.6
Lesotho;48.9;1158.8;16.7;4.9
Liberia;60.2;414.19;22.2;4.4
Lithuania;72.8;14342.52;21;5.8
Luxembourg;81.1;105447.09;13.2;7
Macedonia;75.1;4709.51;23.4;4.6
Malawi;60.1;270.09;22.1;4.3
Malaysia;74.4;10834.66;30.3;5.9
Malta;80.2;21176.31;29;6
Mauritania;62.6;1282.79;18;4.7
Mauritius;74;9113.64;27.4;5.5
Mexico;76.4;9703.37;40.7;7.3
Mongolia;68.6;4377.24;14.3;4.9
Montenegro;75.8;6586.72;25.1;5.2
Morocco;73.4;2931.4;32.7;5
Mozambique;54.3;564.81;23.7;5
Myanmar;65.5;1421.5;24.7;4.4
Namibia;64;5679.96;21.6;4.7
Nepal;68.8;685.5;30.5;4.2
Netherlands;81.2;49474.71;35.3;7.5
New Zealand;81.4;39504.96;31.3;7.2
Nicaragua;74.3;1779.87;38.7;5.4
Niger;60;393.64;16.8;3.8
Nigeria;52.1;2739.85;22.2;5.5
Norway;81.3;101563.7;36.8;7.7
Oman;76.3;21533.81;21.1;6.9
Pakistan;65.7;1266.38;31.5;5.1
Palestine;72.6;2782.91;34.5;4.6
Panama;77.2;10138.52;39.5;6.9
Paraguay;72.6;3858.04;23.3;5.8
Peru;74.1;6388.85;34.6;5.8
Philippines;67.9;2604.66;35;5
Poland;76.9;13142.05;27.5;5.9
Portugal;80.3;20577.4;24.8;5
Republic of Congo;61;3191.16;18.8;3.9
Romania;74.3;8577.29;28.8;5.2
Russia;69.5;14078.83;18.7;5.6
Rwanda;63.1;667.41;19.6;3.3
Senegal;65.4;1019.27;21.9;3.7
Serbia;74.5;5659.38;29;5.2
Sierra Leone;49.8;618.95;15.3;4.5
Slovakia;75.9;17207.28;28.2;5.9
Slovenia;80;22477.6;24.6;6.1
South Africa;56.3;7592.16;15.9;5.1
South Korea;81.3;24453.97;24.8;6
Spain;82.2;28647.84;36;6.3
Sri Lanka;74.6;3350.69;33.8;4.2
Suriname;70.8;9422.27;25.4;6.3
Swaziland;48.9;3988.67;15.5;4.9
Sweden;81.8;57134.08;28;7.6
Switzerland;82.6;83208.69;34.3;7.8
Syria;70.4;2079.99;19.1;3.2
Tajikistan;69;962.44;34.2;4.5
Tanzania;63.5;827.53;22.1;4
Thailand;74.1;5917.92;37.3;6.3
Togo;58.6;580.5;13.2;2.9
Trinidad and Tobago;70.1;18322.32;15.7;6.4
Tunisia;74.6;4187.54;26.2;4.5
Turkey;74.7;10646.04;26.4;5.3
Turkmenistan;65.3;6797.72;14.6;5.5
Uganda;57.1;656.4;19.4;4.3
Ukraine;70.3;3855.42;26.4;5
United Kingdom;80.4;41294.51;31.9;6.9
United States of America;78.8;51456.66;20.7;7
Uruguay;76.9;15127.64;36.1;6.4
Uzbekistan;68.2;1719.04;29.1;6
Vanuatu;71.3;3158.42;40.6;6.5
Venezuela;73.9;12771.6;33.6;7.1
Vietnam;75.5;1754.55;40.3;5.5
Yemen;63.3;1289.03;22.8;4.1
Zambia;58.4;1686.62;25.2;5
Zimbabwe;53.7;850.83;22.1;5